Block Bezeichnung in Jahresformation Fpl-2022,No. of hooks
ICN: Bt B WRA A AD B Bt,6
RABDe502_IC,10
RABe502_IR-L,14
RABe502_IR,6
RABe501,4
RABe503,4
Apm61 5Bpm61,12
Re460 AD(2E)2A(2E)WRB(2E)4B(2E)Bt(2E)Fam,9
Apm61 Bpm61,4
ICE4: 12-teilig,8
2A4(LBT) 2B4(LBT),4
2Apm61 Apm61(Pano) WRm61 7Bpm61 BpmVelo,27
2B4(LBT),4
3Apm61 Bpm61(Velo),15
3Apm61 WRm61 7Bpm61,20
3B4(LBT) Bt4,8
A4(LBT) B4(LBT) Bt4,4
Apm61 Apm61(Pano) WRm 3Bpm61(V) B4(LBT),31
Apm61 B4(LBT),4
Apm61 Bpm61,4
Apm61 Bpm61 B4(LBT) Bt4,8
Apm61 Bpm61 B4(LBT) Bt4,8
B4(LBT),2
B4(LBT) Bt4,4
Bt4,2
ICE4: 13-teilig,8
Re460 3Apm61 Bpm61 2B4 2B4(78) Bt4 (GBT),18
Re460 3B4 Bpm61 A4 Bt4(LBT),10
Re460 4A(2E) 2B(2E) Bpm61 B4(LBT) Bt4,6
Re460 A4(hp)2Apm Bpm 2B4 2B4(78) Bt4 GBT,16
Re460 A4(hp/GB) A4(LB) Bpm61 5B4(LB) Bt4,14
Re460 AD(2E) A(2E) 3B(2E) Bt(2E)Fam,9
Re460 AD(2E)2A(2E)WRB(2E)3B(2E)Bt(2E)Fam,9
Re460 AD(2E)2A(2E)WRB(2E)4B(2E)Bt(2E)Fam,9
Re460 AS4 A4 Apm61 WR Bpm61 3B4 Bt4(LBT),12
Re460 AS4 A4 Bpm61 4B4 Bt4(LBT),12
Re460 AS4 A4(LBT) Bpm61 3B4(LBT) Bt4,10
