station_id,validdate,leisure_biking:idx,snow_depth:cm,t_2m:C,precip_24h:mm,weather_symbol_1h:idx,effective_cloud_cover:octas
didok_8501340,2021-01-01T14:00:00Z,0.00,29.00,-3.70,0.81,4.00,8.00
didok_8501340,2021-01-02T14:00:00Z,0.00,28.00,-2.30,0.10,1.00,2.00
didok_8501340,2021-01-03T14:00:00Z,0.00,27.60,-4.60,0.29,3.00,6.00
didok_8501340,2021-01-04T14:00:00Z,0.00,27.10,-3.90,0.00,1.00,0.00
didok_8501340,2021-01-05T14:00:00Z,0.00,27.10,-6.70,0.00,4.00,8.00
didok_8501340,2021-01-06T14:00:00Z,0.00,27.50,-9.30,0.00,4.00,7.00
didok_8501340,2021-01-07T14:00:00Z,0.00,27.10,-7.40,0.00,1.00,0.00
didok_8501340,2021-01-08T14:00:00Z,0.00,26.60,-9.20,0.00,1.00,0.00
didok_8501340,2021-01-09T14:00:00Z,0.00,27.10,-4.80,0.00,2.00,4.00
didok_8501340,2021-01-10T14:00:00Z,0.00,27.50,-4.10,0.00,1.00,0.00
didok_8501340,2021-01-11T14:00:00Z,0.00,27.50,-3.90,0.00,1.00,0.00
didok_8501340,2021-01-12T14:00:00Z,0.00,27.80,-5.70,2.43,7.00,8.00
didok_8501340,2021-01-13T14:00:00Z,0.00,53.40,-3.80,19.69,7.00,8.00
didok_8501340,2021-01-14T14:00:00Z,0.00,80.50,-2.40,25.95,7.00,8.00
didok_8501340,2021-01-15T14:00:00Z,0.00,93.60,-5.70,13.01,4.00,8.00
didok_8501340,2021-01-16T14:00:00Z,0.00,94.60,-5.70,0.00,1.00,0.00
didok_8501340,2021-01-17T14:00:00Z,0.00,103.50,-7.70,9.93,7.00,8.00
didok_8501340,2021-01-18T14:00:00Z,0.00,105.60,-6.40,3.80,1.00,0.00
didok_8501340,2021-01-19T14:00:00Z,0.00,104.60,-0.30,0.00,1.00,2.00
didok_8501340,2021-01-20T14:00:00Z,0.00,102.80,0.10,0.00,2.00,4.00
