abk_bahnhof,Name Haltestelle,lat,lon
BNBS,Bern Bümpliz Süd,46.93748748,7.395237952
BLB,Blankenburg,46.5411,7.385320005
BNWM,Bern Weyermannshaus,46.94732526,7.410928731
FBBF,"Fraubrunnen, Bahnhof",47.08652129,7.522734742
ZWEI,Zweilütschinen,46.6327,7.899699998
GLF,Gerlafingen,47.17056295,7.56528939
SOAD,Solothurn Allmend,47.2088863,7.521427053
MRT,Murten/Morat,46.92534669,7.115282647
LYSM,Lyss Murgeliweg,47.07209639,7.322218252
SCAU,Schadau,46.74692408,7.637653554
MUCO,Münchenwiler-Courgevaux,46.9109,7.116229995
GMMV,Gümmenen Viadukt,46.9338383,7.247887886
MOUW,Moosseedorf Unterwerk,47.01630747,7.482151561
LGXB,"Lugano, Autosilo Balestra",46.0075229,8.953475777
BNEG,"Bern, Egghölzli",46.93676,7.4768
TEN,Tenero,46.17746746,8.850226185
BNWY,Bern Wylerpark,46.96163395,7.445569469
JKLM,Bern JKLM,46.94824289,7.428894694
SAAN,Saanen,46.48857,7.260269998
LG,Lugano,46.00550055,8.946995309
BN,Bern,46.94883229,7.43913089
SCHB,Schönbühl SBB,47.01894217,7.498927865
BNAS,Bern Europaplatz,46.94420983,7.406117555
MEZ,Mezzovico,46.09427596,8.928590305
LGUS,Löchligut Süd (Abzw),46.97017124,7.470065687
HABF,"Hasle-Rüegsau, Bahnhof",47.01598477,7.65620541
ISLI,Isleten-Isenthal,46.91992061,8.595755351
BELD,Bellinzona Sud,46.18902,9.023449996
RUBM,"Rüegsbach, Britternmatte",47.05659128,7.698277537
BRZS,Brienz (See),46.7537553,8.038373935
BIOP,"Biel/Bienne, Orpundplatz",47.14370129,7.275325846
KIEZ,"Kirchberg BE, Einkaufszentrum",47.08695306,7.583322829
KIBS,"Kirchberg BE, Bütikofenstrasse",47.08650709,7.587417304
SOAS,Solothurn [Gleis 21],47.20463926,7.543489663
BRZ,Brienz,46.75484374,8.03894633
HEWH,"Heimisbach, Wagnershaus",47.01056008,7.753630672
VERI,La Verrerie,46.58752,6.924880007
KZUW,Kerzers Unterwerk,46.97501094,7.191430987
BISW,Biel/Bienne Stellwerk,47.13226744,7.240326812
GIVD,Givisiez dépôt,46.81666029,7.120066174
RHRP,"Röthenbach b. H., Rest. Post",47.20366265,7.683692764
DAE,Därligen,46.65976435,7.814737354
WYPO,"Wyssachen, Dorf",47.0781165,7.828870349
TBTB,"Trub, Twärenbrücke",46.93331862,7.864905394
AND,Andermatt,46.63689009,8.593280417
ERNA,Erstfeld Nord (Abzw),46.82611328,8.647665806
HBTS,Hauenstein Süd (Spw),47.39470989,7.907288583
BDBT,"Burgdorf, Bleichimatt",47.06894875,7.600902518
PALG,Palagnedra,46.16119,8.63094
TACJ,Tavannes [voie étroite],47.22015299,7.201883005
HBK,Hindelbank,47.04956376,7.545410601
GRIN,Grindelwald,46.62436,8.033310005
ERST,"Eriswil, Station",47.0800189,7.850808758
CO,Cortébert,47.18933715,7.107309204
SEVA,Sévaz (embr),46.83754852,6.863040865
OHTS,Ob.Hauensteintunnel Portal Süd,47.31475037,7.702148726
SIBF,"Signau, Bahnhof",46.92013169,7.725991352
LUEL,Lütschental,46.63709999,7.948989998
SKKM,Sisikon km,46.94851522,8.620845281
BIAV,Biasca Ovest,46.35167748,8.958825476
BRZD,Brienz Dorf,46.75400862,8.029463511
GOEB,"Göschenen, Bahnhof",46.66598297,8.58838143
TBLS,"Trub, Längengrund Säge",46.93155347,7.860597403
FRNO,Fribourg Nord,46.81170853,7.153602268
RO,Rodi-Fiesso,46.49025148,8.740162465
MUNC,Münchringen,47.04490001,7.520546265
FINS,Finsterhennen,47.02982,7.178849996
MOGS,Molincero Galleria Sud,46.07776204,8.924552328
MATE,Matten i.S.,46.49371,7.421639998
ASOS,"Aareschlucht, Ost",46.71208352,8.21637923
HAEO,Hägendorf Oberbau,47.32583351,7.828761118
TBUF,"Trub, Unterfeld",46.93621594,7.871888661
LNKH,"Langnau i.E., Kreuzstrasse",46.94134768,7.79476828
LNFR,"Langnau i.E., Fansrütistrasse",46.94265275,7.791611572
FLUW,Flüelen Unterwerk,46.89533399,8.624755315
BDGN,"Burgdorf, Gyrischachen",47.06298418,7.63076591
BDBL,"Burgdorf, Blattnerweg",47.0609219,7.609434352
IOE,Interlaken Brünig (Gleisende),46.69036945,7.867281704
GRY,Gruyères,46.58260999,7.073250002
SOVS,"Solothurn, Vorstadt",47.20453633,7.537787736
ERSH,"Eriswil, Schulhaus",47.07765308,7.850843263
TSOB,"Trubschachen, Oelibrücke",46.92597549,7.8509424
CRCV,"Crémines, centre du village",47.28330792,7.439617827
BIRT,Birchiwaldtunnel,47.06348843,7.556721855
